"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,62,43,0.41,1.14
1985,100,32,0.43,1.2
1986,172,36,0.63,1.75
1987,133,41,0.56,1.57
1988,96,31,0.43,1.18
1989,173,42,0.68,1.88
1990,71,50,0.47,1.32
1991,160,28,0.55,1.54
1992,135,43.5,0.58,1.62
1993,48,27,0.29,0.8
1994,45,18,0.22,0.61
1995,115,7,0.32,0.9
1996,36,27,0.25,0.7
1997,32,14,0.16,0.45
1998,227,14,0.62,1.74
1999,29,57,0.41,1.15
2000,59,13,0.23,0.65
2001,87,17,0.33,0.92
2002,108,32,0.45,1.26
2003,28,22,0.21,0.57
2004,83,15,0.29,0.8
2005,260,50,0.91,2.54
2006,107,121,0.97,2.7
2007,75,21,0.31,0.86
2008,130,13,0.39,1.09
2009,85,49,0.5,1.38
2010,136,46,0.6,1.67
2011,135,35,0.53,1.47
2012,130,36,0.53,1.47
2013,134,76,0.78,2.16
2014,75,55,0.51,1.42
2015,153,49,0.66,1.84
2016,231,29,0.73,2.03
2017,316,64,1.13,3.15
2018,106,66,0.65,1.82
2019,135,26,0.48,1.34
